eventID,energy,neutronAngle,timeOfFlight,
6395,23.4919,0.658257,75.6172,
29506,19.3011,0.501545,161.147,
135333,10.8197,0.243329,160.884,
136197,18.9823,0.495132,163.3,
137196,18.3523,0.500382,70.9769,
243148,68.2411,1.38455,79.9125,
284969,20.3535,0.571567,69.4981,
331062,21.946,0.572885,162.649,
339980,20.5059,0.555628,70.6305,
435437,15.922,0.462234,72.9631,
481443,18.0747,0.473033,165.553,
484039,64.6199,1.3474,78.7495,
504727,36.8059,0.906964,78.6527,
525212,22.238,0.580366,69.4145,
620479,19.6115,0.56509,168.478,
631305,18.0008,0.532703,161.157,
635652,35.7078,0.912248,72.7387,
642861,19.9985,0.558793,73.0622,
643561,20.5647,0.532972,73.035,
679001,19.6386,0.510835,71.641,
721870,22.0987,0.576406,70.4161,
736907,19.9882,0.570438,164.833,
744628,16.875,0.488892,70.4019,
748277,17.2282,0.465878,161.272,
860068,18.2508,0.5057,165.867,
910193,19.2563,0.534375,70.7868,
913687,76.1019,1.57704,80.0637,
955898,19.1802,0.507298,161.897,
974083,16.4779,0.49273,166.302,
977139,19.6672,0.506708,163.91,
1023625,47.5682,1.02912,72.2038,
1046042,17.0587,0.488208,69.2498,
1058386,18.6906,0.527601,71.2054,
1067967,18.6656,0.513936,161.733,
1096536,18.1377,0.493721,71.986,
1100144,17.9907,0.509833,71.9835,
1107669,11.4685,0.697543,71.8032,
1193276,22.9163,0.602128,160.976,
1227364,21.7954,0.582582,163.355,
1267401,22.2857,0.578622,67.7946,
1284761,18.0649,0.463059,165.708,
1311086,19.1678,0.497082,69.929,
1333306,20.7691,0.560429,166.782,
1339840,19.3438,0.529091,164.128,
1449992,17.3956,0.518331,164.065,
1454590,21.6079,0.608548,68.3332,
1474836,18.3892,0.513107,68.0053,
1483670,22.2075,0.578438,163.752,
1506173,13.609,0.387784,72.1307,
1587879,20.5348,0.558447,71.3897,
1588054,17.9602,0.531295,168.19,
1643262,89.417,1.60965,78.7773,
1657213,22.1807,0.587539,168.392,
1735472,18.4661,0.477466,71.0731,
1762848,19.1638,0.556066,69.1272,
1885038,33.8314,0.824519,165.252,
1907320,22.8363,0.591116,73.2772,
1954785,19.976,0.551746,70.6024,
