num_photons,counts
2.10526315789474, 14.042553191489361
4.210526315789476, 21.06382978723404
5.964912280701753, 24.893617021276597
8.070175438596493, 30.851063829787236
9.824561403508774, 52.12765957446808
11.92982456140351, 48.93617021276596
14.035087719298247, 55.1063829787234
16.140350877192986, 59.99999999999999
17.89473684210526, 67.23404255319149
20, 86.17021276595744
22.105263157894733, 71.27659574468085
24.210526315789473, 67.02127659574468
25.964912280701753, 80
28.070175438596486, 77.02127659574468
30.175438596491226, 58.297872340425535
31.929824561403507, 64.89361702127658
34.03508771929825, 59.148936170212764
36.14035087719298, 43.19148936170213
37.89473684210527, 58.93617021276596
40, 40.21276595744681
42.10526315789474, 37.02127659574468
43.859649122807014, 27.02127659574468
46.31578947368421, 22.127659574468083
48.070175438596486, 16.17021276595746
